timestamp,symbol,action,old_allocation,new_allocation,equity_before,equity_after,commission,slippage,regime,regime_prob,window_id
2023-12-04 00:00:00+00:00,4238,REBALANCE,0.0,0.051000000000000004,546.14,545.12607343,1.0,0.013926570000000001,STRONG_BULL,1.0,0
2023-12-04 00:00:00+00:00,14328,REBALANCE,0.0,0.051000000000000004,545.12607343,544.1121727151276,1.0,0.013900714872465003,STRONG_BULL,1.0,0
2023-12-04 00:00:00+00:00,9408,REBALANCE,0.0,0.08399999999999999,544.1121727151276,543.0893200038736,1.0,0.022852711254035356,STRONG_BULL,1.0,0
2023-12-04 00:00:00+00:00,6218,REBALANCE,0.0,0.10200000000000001,543.0893200038736,542.0616224485534,1.0,0.027697555320197555,STRONG_BULL,1.0,0
2023-12-04 00:00:00+00:00,2488,REBALANCE,0.0,0.08399999999999999,542.0616224485534,541.0388558604105,1.0,0.02276658814283924,STRONG_BULL,1.0,0
2024-01-23 00:00:00+00:00,4238,REBALANCE,0.051000000000000004,0.1615,589.6775546322248,588.6449749473313,1.0,0.03257968489343042,EUPHORIA,1.0,0
2024-01-23 00:00:00+00:00,14328,REBALANCE,0.051000000000000004,0.1615,588.6449749473313,587.6124523124655,1.0,0.032522634865840054,EUPHORIA,1.0,0
2024-01-23 00:00:00+00:00,9408,REBALANCE,0.08399999999999999,0.133,587.6124523124655,586.5980558073838,1.0,0.014396505081655409,EUPHORIA,1.0,0
2024-01-23 00:00:00+00:00,6218,REBALANCE,0.10200000000000001,0.133,586.5980558073838,585.5889635375188,1.0,0.009092269865014449,EUPHORIA,1.0,0
2024-01-23 00:00:00+00:00,2488,REBALANCE,0.08399999999999999,0.1615,585.5889635375188,584.5662719651817,1.0,0.022691572337078858,EUPHORIA,1.0,0
2024-06-05 00:00:00+00:00,4238,REBALANCE,0.0,0.08399999999999999,702.251569946876,701.2220753809382,1.0,0.029494565937768787,NEUTRAL,1.0,1
2024-06-05 00:00:00+00:00,14328,REBALANCE,0.0,0.10200000000000001,701.2220753809382,700.1863130550938,1.0,0.03576232584442785,NEUTRAL,1.0,1
2024-06-05 00:00:00+00:00,9408,REBALANCE,0.0,0.08399999999999999,700.1863130550938,699.1569052299456,1.0,0.029407825148313936,NEUTRAL,1.0,1
2024-06-05 00:00:00+00:00,6218,REBALANCE,0.0,0.10200000000000001,699.1569052299456,698.1212482277788,1.0,0.03565700216672722,NEUTRAL,1.0,1
2024-06-05 00:00:00+00:00,2488,REBALANCE,0.0,0.10200000000000001,698.1212482277788,697.0856440441191,1.0,0.03560418365961673,NEUTRAL,1.0,1
2024-12-09 00:00:00+00:00,4238,REBALANCE,0.0,0.08399999999999999,752.2220261443294,751.1904328192314,1.0,0.031593325098061835,EUPHORIA,1.0,2
2024-12-09 00:00:00+00:00,14328,REBALANCE,0.0,0.10200000000000001,751.1904328192314,750.1521221071577,1.0,0.038310712073780805,EUPHORIA,1.0,2
2024-12-09 00:00:00+00:00,9408,REBALANCE,0.0,0.051000000000000004,750.1521221071577,749.1329932280439,1.0,0.01912887911373252,EUPHORIA,1.0,2
2024-12-09 00:00:00+00:00,6218,REBALANCE,0.0,0.051000000000000004,749.1329932280439,748.1138903367166,1.0,0.01910289132731512,EUPHORIA,1.0,2
2024-12-09 00:00:00+00:00,2488,REBALANCE,0.0,0.10200000000000001,748.1138903367166,747.0757365283094,1.0,0.03815380840717255,EUPHORIA,1.0,2
2025-06-09 00:00:00+00:00,4238,REBALANCE,0.0,0.1615,801.1845130093706,800.119817359945,1.0,0.06469564942550668,CRASH,1.0,3
2025-06-09 00:00:00+00:00,14328,REBALANCE,0.0,0.1615,800.119817359945,799.0552076846932,1.0,0.06460967525181556,CRASH,1.0,3
2025-06-09 00:00:00+00:00,9408,REBALANCE,0.0,0.133,799.0552076846932,798.0020705133821,1.0,0.0531371713110321,CRASH,1.0,3
2025-06-09 00:00:00+00:00,6218,REBALANCE,0.0,0.133,798.0020705133821,796.949003375693,1.0,0.05306713768913991,CRASH,1.0,3
2025-06-09 00:00:00+00:00,2488,REBALANCE,0.0,0.1615,796.949003375693,795.8846497436704,1.0,0.0643536320225872,CRASH,1.0,3
2025-08-04 00:00:00+00:00,4238,REBALANCE,0.1615,0.08074,820.5928919052739,819.5597563642988,1.0,0.03313554097513496,EUPHORIA,1.0,3
2025-08-04 00:00:00+00:00,14328,REBALANCE,0.1615,0.051000000000000004,819.5597563642988,818.5144756877596,1.0,0.045280676539127505,EUPHORIA,1.0,3
2025-08-04 00:00:00+00:00,9408,REBALANCE,0.133,0.08074,818.5144756877596,817.4930879045099,1.0,0.02138778324972116,EUPHORIA,1.0,3
2025-08-04 00:00:00+00:00,6218,REBALANCE,0.133,0.0665,817.4930879045099,816.4659062593371,1.0,0.027181645172824957,EUPHORIA,1.0,3
2025-08-04 00:00:00+00:00,2488,REBALANCE,0.1615,0.0665,816.4659062593371,815.4271241287897,1.0,0.03878213054731851,EUPHORIA,1.0,3
2025-12-08 00:00:00+00:00,4238,REBALANCE,0.0,0.10200000000000001,813.0135096550006,811.9720459660082,1.0,0.04146368899240503,CRASH,1.0,4
2025-12-08 00:00:00+00:00,14328,REBALANCE,0.0,0.08399999999999999,811.9720459660082,810.9379431400777,1.0,0.03410282593057234,CRASH,1.0,4
2025-12-08 00:00:00+00:00,9408,REBALANCE,0.0,0.08399999999999999,810.9379431400777,809.9038837464658,1.0,0.03405939361188326,CRASH,1.0,4
2025-12-08 00:00:00+00:00,6218,REBALANCE,0.0,0.08399999999999999,809.9038837464658,808.8698677833485,1.0,0.03401596311735156,CRASH,1.0,4
2025-12-08 00:00:00+00:00,2488,REBALANCE,0.0,0.08399999999999999,808.8698677833485,807.8358952489016,1.0,0.03397253444690063,CRASH,1.0,4
